CaseID,Description,Resource Allocation Strategy,Throughput Maximization Outcome,Load Balancing Outcome,Optimization Label,idx
00627,High-rise residential area with consistent peak times.,Static Spectrum Allocation,High,Balanced,StaticSpectrumOptimization,26.0
00628,Disaster-affected area with emergency communication needs.,Emergency-Priority Allocation,Very High,Balanced,RealTimeOptimization,27.0
00629,Countryside with intermittent usage.,Predictive Allocation,Medium,Balanced,PredictiveOptimization,28.0
00630,Areas close to airports with significant data transmission requirements for both commercial and personal use.,MixedUseOptimization,Very High,Balanced,MixedUseOptimization,29.0
00631,A financial district with numerous high-speed data requirements.,Dynamic Spectrum Allocation,High,Balanced,DynamicSpectrumOptimization,30.0
00632,Campus area with fluctuating usage between classes.,Fixed Bandwidth Allocation,High,Unbalanced,StaticSpectrumOptimization,31.0
00633,Smart city district with IoT devices generating continuous data.,Adaptive Resource Allocation with Predictive Analytics,High,Balanced,RealTimeOptimization,32.0
00634,Industrial area with critical real-time monitoring needs.,Priority-based Allocation,Very High,Balanced,RealTimeOptimization,33.0
00635,Residential area with sports facilities and local government buildings.,Event-based Allocation,Medium,Balanced,EventSchedulingOptimization,34.0
00636,"Dense urban area with a mix of commercial, residential, and government buildings.",Dynamic Spectrum Allocation,High,Balanced,DynamicSpectrumOptimization,35.0
00637,Industrial zone with regular heavy usage in mornings.,Static Spectrum Allocation,Medium,Balanced,StaticSpectrumOptimization,36.0
00638,Military base with constant and critical communication.,Military-Priority Allocation,Very High,Balanced,RealTimeOptimization,37.0
00639,Hilly terrain with challenging topography.,Mobility Optimization,Low,Unbalanced,TopographicalChallengesOptimization,38.0
00640,"City center with a mix of retail, office spaces, and entertainment venues with peak usage times.",MixedUseOptimization,High,Balanced,MixedUseOptimization,39.0
00641,A city with frequent public events leading to variable network demand.,Dynamic Spectrum Allocation,Medium,Balanced,DynamicSpectrumOptimization,40.0
00642,Small town with occasional influx of visitors during local events.,Fixed Bandwidth Allocation,Low,Balanced,StaticSpectrumOptimization,41.0
00643,Critical infrastructure network during a natural disaster.,Dynamic Spectrum Allocation with Emergency Priority,High,Balanced,RealTimeOptimization,42.0
00644,Rural area with low density and low usage.,Low Priority Allocation,Low,Unbalanced,RuralOptimization,43.0
00645,Mixed residential and commercial zone with scheduled business hours.,Time-based Allocation,Medium,Balanced,TimeSchedulingOptimization,44.0
00646,Tourist attraction area during peak season with an influx of visitors.,Dynamic Spectrum Allocation,Very High,Balanced,DynamicSpectrumOptimization,45.0
00647,Healthcare facility with non-stop 24/7 demand.,Static Spectrum Allocation,High,Balanced,StaticSpectrumOptimization,46.0
00648,Sports stadium during peak events.,Event-based Dynamic Allocation,Very High,Unbalanced,RealTimeOptimization,47.0
00649,Regional center with sparse connectivity infrastructure.,Area Expansion Strategy,Medium,Unbalanced,InfrastructureDevelopmentOptimization,48.0
00650,Suburban neighborhood with occasional high usage for sports events and community gatherings.,MixedUseOptimization,Medium,Balanced,MixedUseOptimization,49.0
00651,A university campus with diverse connectivity needs for classrooms and dormitories.,Dynamic Spectrum Allocation,High,Balanced,DynamicSpectrumOptimization,50.0
00652,Commercial area with consistent traffic throughout the day.,Fixed Bandwidth Allocation,Very High,Balanced,StaticSpectrumOptimization,51.0
00653,Entertainment district with high-density event spaces.,Priority-based Allocation with Crowd-sourced Demand Forecasting,High,Balanced,RealTimeOptimization,52.0
00654,Mixed-use area with varying high-demand sectors.,Adaptive Resource Allocation,High,Balanced,MixedUseOptimization,53.0
00655,Area with high-density retail zones and adjacent entertainment venues.,Event-driven Allocation,High,Unbalanced,EventDrivenOptimization,54.0
00656,Historic city center with narrow streets and older buildings.,Dynamic Spectrum Allocation,Medium,Unbalanced,DynamicSpectrumOptimization,55.0
00657,Public transportation hub with predictable usage spikes.,Static Spectrum Allocation,Medium,Balanced,StaticSpectrumOptimization,56.0
00658,Hospital with critical health monitoring devices.,Healthcare-Priority Allocation,Very High,Balanced,RealTimeOptimization,57.0
00659,Isolated village with a small local community.,Community-Centric Allocation,Low,Unbalanced,CommunityCentricOptimization,58.0
00660,"Mixed-use urban zone combining residential, commercial, and entertainment spaces.",MixedUseOptimization,Very High,Balanced,MixedUseOptimization,59.0
00661,A major hospital with critical telemedicine applications.,Dynamic Spectrum Allocation,Very High,Balanced,DynamicSpectrumOptimization,60.0
00662,Off-peak residential area with minimal usage.,Fixed Bandwidth Allocation,Low,Unbalanced,StaticSpectrumOptimization,61.0
00663,Education campus with multiple wireless classrooms and high student density.,Adaptive Resource Allocation with Student Occupancy Tracking,High,Balanced,RealTimeOptimization,62.0
00664,High-rise urban complex with dense usage and multiple demand areas.,Multi-layered Allocation,Very High,Balanced,UrbanHighRiseOptimization,63.0
00665,Urban area with a central park and surrounding office and residential buildings.,Green Space Optimization,Medium,Balanced,GreenSpaceOptimization,64.0
00666,Seasonal agricultural region with periodic high demand for connectivity.,Dynamic Spectrum Allocation,High,Balanced,DynamicSpectrumOptimization,65.0
00667,Financial district with high-frequency trading activities.,Static Spectrum Allocation,High,Balanced,StaticSpectrumOptimization,66.0
00668,Public transport hub with high and variable usage.,Transit-Priority Allocation,High,Balanced,RealTimeOptimization,67.0
00669,Low-population rural area with essential services.,Minimum Requirement Allocation,Very Low,Unbalanced,EssentialServicesOptimization,68.0
00670,Urban district with high-rise buildings and dense usage patterns with multiple access points.,MixedUseOptimization,High,Balanced,MixedUseOptimization,69.0
00671,A government building with high-security communications.,Dynamic Spectrum Allocation,High,Balanced,DynamicSpectrumOptimization,70.0
00672,Educational institution with high evening usage due to student activities.,Fixed Bandwidth Allocation,High,Balanced,StaticSpectrumOptimization,71.0
00673,Industrial zone with numerous sensors and real-time control systems.,Priority-based Allocation with Sensor Data Analysis,Very High,Balanced,RealTimeOptimization,72.0
00674,Tourist destination with seasonal usage peaks.,Temporal Dynamic Allocation,Medium,Balanced,SeasonalTouristOptimization,73.0
00675,Industrial area with factories and a residential zone nearby.,Priority Allocation for Industry,High,Unbalanced,IndustryPriorityOptimization,74.0
00676,Shopping mall with multiple retailers and high foot traffic.,Dynamic Spectrum Allocation,High,Balanced,DynamicSpectrumOptimization,75.0
00677,Sports complex with events scheduled during weekends.,Static Spectrum Allocation,Medium,Balanced,StaticSpectrumOptimization,76.0
00678,Airport with frequent high-demand communication periods.,Airport-Priority Allocation,Very High,Balanced,RealTimeOptimization,77.0
00679,Rural area with sporadic connectivity due to natural barriers.,Geographical Mapping,Medium,Balanced,GeographicalMappingOptimization,78.0
00680,Waterfront area with tourist attractions and commercial activities.,MixedUseOptimization,High,Balanced,MixedUseOptimization,79.0
00681,A tech park with a high concentration of IoT devices.,Dynamic Spectrum Allocation,High,Balanced,DynamicSpectrumOptimization,80.0
00682,Shopping mall with peak usage during holiday seasons.,Fixed Bandwidth Allocation,Very High,Balanced,StaticSpectrumOptimization,81.0
00683,Residential area with smart homes and real-time entertainment streaming.,Dynamic Spectrum Allocation with User Preference Learning,Medium,Balanced,RealTimeOptimization,82.0
00684,Coastal area with high usage due to tourism and events.,Event-based Dynamic Allocation,High,Balanced,CoastalTourismOptimization,83.0
00685,Suburban area with a mix of residential homes and small businesses.,Flexible Allocation,Low,Balanced,FlexibleResourceOptimization,84.0
00686,Financial district with numerous high-value transactions.,Dynamic Spectrum Allocation,Very High,Balanced,DynamicSpectrumOptimization,85.0
00687,Cultural center with recurring events and peak audience attendance.,Static Spectrum Allocation,High,Balanced,StaticSpectrumOptimization,86.0
00688,Shopping mall with peak shopping hours and e-commerce logistics.,E-commerce-Dynamic Allocation,Very High,Unbalanced,RealTimeOptimization,87.0
00689,Region with rural educational institutions.,School-Centric Allocation,Low,Balanced,EducationFacilitationOptimization,88.0
00690,Historical city center with cultural significance and seasonal tourism spikes.,MixedUseOptimization,Medium,Balanced,MixedUseOptimization,89.0
00691,A smart city with integrated IoT and connected vehicles.,Dynamic Spectrum Allocation,Very High,Balanced,DynamicSpectrumOptimization,90.0
00692,Suburban area with consistent low usage except for weekends.,Fixed Bandwidth Allocation,Low,Balanced,StaticSpectrumOptimization,91.0
00693,Transportation hub with multiple connectivity demands from vehicles and pedestrians.,Priority-based Allocation with Traffic Flow Optimization,Very High,Balanced,RealTimeOptimization,92.0
00694,Rural area with growing telehealth services demand.,Service-based Allocation,Medium,Unbalanced,RuralTelehealthOptimization,93.0
00695,Downtown area with constant heavy traffic and mixed commercial and residential use.,Traffic-aware Allocation,Very High,Unbalanced,TrafficAwareOptimization,94.0
00696,Waterfront area with tourist activities and a large marina.,Dynamic Spectrum Allocation,High,Balanced,DynamicSpectrumOptimization,95.0
00697,Educational campus with uniform demand across classrooms and study areas.,Static Spectrum Allocation,High,Balanced,StaticSpectrumOptimization,96.0
00698,Smart city infrastructure with IoT sensors.,SmartCity-Priority Allocation,Very High,Balanced,RealTimeOptimization,97.0
00699,Coastal region with tourist-based economy.,Tourism-Centric Allocation,Medium,Balanced,TourismOptimization,98.0
00700,Mixed residential and commercial area with nightlife activities affecting network load.,MixedUseOptimization,High,Balanced,MixedUseOptimization,99.0
00701,Urban area with high user density and varied usage patterns.,Dynamic Spectrum Allocation,High,Balanced,DynamicSpectrumOptimization,0.0
00702,"Suburban area with moderate usage, peak during evenings.",Static Spectrum Allocation,Medium,Unbalanced,StaticSpectrumOptimization,1.0
00703,Industrial area with critical real-time monitoring needs.,Priority-based Allocation,Very High,Balanced,RealTimeOptimization,2.0
00704,Rural area with low density and low usage.,Low Priority Allocation,Low,Unbalanced,RuralOptimization,3.0
00705,Mixed-use area with varying high-demand sectors.,Adaptive Resource Allocation,High,Balanced,MixedUseOptimization,4.0
00706,City center with high-rise buildings causing signal reflections.,Dynamic Spectrum Allocation,High,Balanced,DynamicSpectrumOptimization,5.0
00707,Urban center with consistent traffic patterns.,Static Spectrum Allocation,Medium,Balanced,StaticSpectrumOptimization,6.0
00708,Heavy industrial zone with critical IoT devices.,Priority-based Real-time Allocation,Very High,Balanced,RealTimeOptimization,7.0
00709,Small town with seasonal tourist traffic.,Dynamic Bandwidth Allocation,Medium,Balanced,DynamicBandwidthOptimization,8.0
00710,Downtown commercial district with high foot traffic and diverse service requirements.,MixedUseOptimization,High,Balanced,MixedUseOptimization,9.0
00711,A downtown area with high-rise buildings causing signal reflection.,Dynamic Spectrum Allocation,High,Balanced,DynamicSpectrumOptimization,10.0
00712,Residential area with sporadic high demand during weekends.,Fixed Bandwidth Allocation,Medium,Balanced,StaticSpectrumOptimization,11.0
00713,Factory floor with automated machinery and real-time communication needs.,Priority-based Allocation with Machine Learning Prediction,Very High,Balanced,RealTimeOptimization,12.0
00714,Urban area with high user density and varied usage patterns.,Dynamic Spectrum Allocation,High,Balanced,DynamicSpectrumOptimization,13.0
00715,Commercial district with high-rise office buildings and retail spaces.,Segmented Resource Allocation,High,Balanced,SegmentedSectorOptimization,14.0
00716,Small town with low population but hosting a major sports event.,Dynamic Spectrum Allocation,Very High,Balanced,DynamicSpectrumOptimization,15.0
00717,Commercial area with steady demand throughout the day.,Static Spectrum Allocation,Medium,Balanced,StaticSpectrumOptimization,16.0
00718,High-density event area with sporadic usage.,Dynamic Spectrum Allocation,High,Unbalanced,RealTimeOptimization,17.0
00719,Remote agricultural area with low population.,Minimal Bandwidth Allocation,Low,Unbalanced,AgriculturalAreaOptimization,18.0
00720,Residential area near a university campus with high data demand during exam periods.,MixedUseOptimization,Medium,Balanced,MixedUseOptimization,19.0
00721,A stadium with varying crowd density during events.,Dynamic Spectrum Allocation,Very High,Balanced,DynamicSpectrumOptimization,20.0
00722,Financial district with consistent high traffic during work hours.,Fixed Bandwidth Allocation,Very High,Balanced,StaticSpectrumOptimization,21.0
00723,Healthcare facility with critical patient monitoring systems.,Priority-based Allocation with Real-time Traffic Analysis,Very High,Balanced,RealTimeOptimization,22.0
00724,"Suburban area with moderate usage, peak during evenings.",Static Spectrum Allocation,Medium,Unbalanced,StaticSpectrumOptimization,23.0
00725,"Neighborhood with schools, clinics, and apartment buildings.",Service-based Allocation,Medium,Unbalanced,ServicePriorityOptimization,24.0
00726,Industrial district with multiple high-bandwidth applications.,Dynamic Spectrum Allocation,Very High,Balanced,DynamicSpectrumOptimization,25.0
00727,High-rise residential area with consistent peak times.,Static Spectrum Allocation,High,Balanced,StaticSpectrumOptimization,26.0
00728,Disaster-affected area with emergency communication needs.,Emergency-Priority Allocation,Very High,Balanced,RealTimeOptimization,27.0
00729,Countryside with intermittent usage.,Predictive Allocation,Medium,Balanced,PredictiveOptimization,28.0
00730,Areas close to airports with significant data transmission requirements for both commercial and personal use.,MixedUseOptimization,Very High,Balanced,MixedUseOptimization,29.0
00731,A financial district with numerous high-speed data requirements.,Dynamic Spectrum Allocation,High,Balanced,DynamicSpectrumOptimization,30.0
00732,Campus area with fluctuating usage between classes.,Fixed Bandwidth Allocation,High,Unbalanced,StaticSpectrumOptimization,31.0
00733,Smart city district with IoT devices generating continuous data.,Adaptive Resource Allocation with Predictive Analytics,High,Balanced,RealTimeOptimization,32.0
00734,Industrial area with critical real-time monitoring needs.,Priority-based Allocation,Very High,Balanced,RealTimeOptimization,33.0
00735,Residential area with sports facilities and local government buildings.,Event-based Allocation,Medium,Balanced,EventSchedulingOptimization,34.0
00736,"Dense urban area with a mix of commercial, residential, and government buildings.",Dynamic Spectrum Allocation,High,Balanced,DynamicSpectrumOptimization,35.0
00737,Industrial zone with regular heavy usage in mornings.,Static Spectrum Allocation,Medium,Balanced,StaticSpectrumOptimization,36.0
00738,Military base with constant and critical communication.,Military-Priority Allocation,Very High,Balanced,RealTimeOptimization,37.0
00739,Hilly terrain with challenging topography.,Mobility Optimization,Low,Unbalanced,TopographicalChallengesOptimization,38.0
00740,"City center with a mix of retail, office spaces, and entertainment venues with peak usage times.",MixedUseOptimization,High,Balanced,MixedUseOptimization,39.0
00741,A city with frequent public events leading to variable network demand.,Dynamic Spectrum Allocation,Medium,Balanced,DynamicSpectrumOptimization,40.0
00742,Small town with occasional influx of visitors during local events.,Fixed Bandwidth Allocation,Low,Balanced,StaticSpectrumOptimization,41.0
00743,Critical infrastructure network during a natural disaster.,Dynamic Spectrum Allocation with Emergency Priority,High,Balanced,RealTimeOptimization,42.0
00744,Rural area with low density and low usage.,Low Priority Allocation,Low,Unbalanced,RuralOptimization,43.0
00745,Mixed residential and commercial zone with scheduled business hours.,Time-based Allocation,Medium,Balanced,TimeSchedulingOptimization,44.0
00746,Tourist attraction area during peak season with an influx of visitors.,Dynamic Spectrum Allocation,Very High,Balanced,DynamicSpectrumOptimization,45.0
00747,Healthcare facility with non-stop 24/7 demand.,Static Spectrum Allocation,High,Balanced,StaticSpectrumOptimization,46.0
00748,Sports stadium during peak events.,Event-based Dynamic Allocation,Very High,Unbalanced,RealTimeOptimization,47.0
00749,Regional center with sparse connectivity infrastructure.,Area Expansion Strategy,Medium,Unbalanced,InfrastructureDevelopmentOptimization,48.0
00750,Suburban neighborhood with occasional high usage for sports events and community gatherings.,MixedUseOptimization,Medium,Balanced,MixedUseOptimization,49.0
00751,A university campus with diverse connectivity needs for classrooms and dormitories.,Dynamic Spectrum Allocation,High,Balanced,DynamicSpectrumOptimization,50.0
00752,Commercial area with consistent traffic throughout the day.,Fixed Bandwidth Allocation,Very High,Balanced,StaticSpectrumOptimization,51.0
00753,Entertainment district with high-density event spaces.,Priority-based Allocation with Crowd-sourced Demand Forecasting,High,Balanced,RealTimeOptimization,52.0
00754,Mixed-use area with varying high-demand sectors.,Adaptive Resource Allocation,High,Balanced,MixedUseOptimization,53.0
00755,Area with high-density retail zones and adjacent entertainment venues.,Event-driven Allocation,High,Unbalanced,EventDrivenOptimization,54.0
00756,Historic city center with narrow streets and older buildings.,Dynamic Spectrum Allocation,Medium,Unbalanced,DynamicSpectrumOptimization,55.0
00757,Public transportation hub with predictable usage spikes.,Static Spectrum Allocation,Medium,Balanced,StaticSpectrumOptimization,56.0
00758,Hospital with critical health monitoring devices.,Healthcare-Priority Allocation,Very High,Balanced,RealTimeOptimization,57.0
00759,Isolated village with a small local community.,Community-Centric Allocation,Low,Unbalanced,CommunityCentricOptimization,58.0
00760,"Mixed-use urban zone combining residential, commercial, and entertainment spaces.",MixedUseOptimization,Very High,Balanced,MixedUseOptimization,59.0
00761,A major hospital with critical telemedicine applications.,Dynamic Spectrum Allocation,Very High,Balanced,DynamicSpectrumOptimization,60.0
00762,Off-peak residential area with minimal usage.,Fixed Bandwidth Allocation,Low,Unbalanced,StaticSpectrumOptimization,61.0
00763,Education campus with multiple wireless classrooms and high student density.,Adaptive Resource Allocation with Student Occupancy Tracking,High,Balanced,RealTimeOptimization,62.0
00764,High-rise urban complex with dense usage and multiple demand areas.,Multi-layered Allocation,Very High,Balanced,UrbanHighRiseOptimization,63.0
00765,Urban area with a central park and surrounding office and residential buildings.,Green Space Optimization,Medium,Balanced,GreenSpaceOptimization,64.0
00766,Seasonal agricultural region with periodic high demand for connectivity.,Dynamic Spectrum Allocation,High,Balanced,DynamicSpectrumOptimization,65.0
00767,Financial district with high-frequency trading activities.,Static Spectrum Allocation,High,Balanced,StaticSpectrumOptimization,66.0
00768,Public transport hub with high and variable usage.,Transit-Priority Allocation,High,Balanced,RealTimeOptimization,67.0
00769,Low-population rural area with essential services.,Minimum Requirement Allocation,Very Low,Unbalanced,EssentialServicesOptimization,68.0
00770,Urban district with high-rise buildings and dense usage patterns with multiple access points.,MixedUseOptimization,High,Balanced,MixedUseOptimization,69.0
00771,A government building with high-security communications.,Dynamic Spectrum Allocation,High,Balanced,DynamicSpectrumOptimization,70.0
00772,Educational institution with high evening usage due to student activities.,Fixed Bandwidth Allocation,High,Balanced,StaticSpectrumOptimization,71.0
00773,Industrial zone with numerous sensors and real-time control systems.,Priority-based Allocation with Sensor Data Analysis,Very High,Balanced,RealTimeOptimization,72.0
00774,Tourist destination with seasonal usage peaks.,Temporal Dynamic Allocation,Medium,Balanced,SeasonalTouristOptimization,73.0
00775,Industrial area with factories and a residential zone nearby.,Priority Allocation for Industry,High,Unbalanced,IndustryPriorityOptimization,74.0
00776,Shopping mall with multiple retailers and high foot traffic.,Dynamic Spectrum Allocation,High,Balanced,DynamicSpectrumOptimization,75.0
00777,Sports complex with events scheduled during weekends.,Static Spectrum Allocation,Medium,Balanced,StaticSpectrumOptimization,76.0
00778,Airport with frequent high-demand communication periods.,Airport-Priority Allocation,Very High,Balanced,RealTimeOptimization,77.0
00779,Rural area with sporadic connectivity due to natural barriers.,Geographical Mapping,Medium,Balanced,GeographicalMappingOptimization,78.0
00780,Waterfront area with tourist attractions and commercial activities.,MixedUseOptimization,High,Balanced,MixedUseOptimization,79.0
00781,A tech park with a high concentration of IoT devices.,Dynamic Spectrum Allocation,High,Balanced,DynamicSpectrumOptimization,80.0
00782,Shopping mall with peak usage during holiday seasons.,Fixed Bandwidth Allocation,Very High,Balanced,StaticSpectrumOptimization,81.0
00783,Residential area with smart homes and real-time entertainment streaming.,Dynamic Spectrum Allocation with User Preference Learning,Medium,Balanced,RealTimeOptimization,82.0
00784,Coastal area with high usage due to tourism and events.,Event-based Dynamic Allocation,High,Balanced,CoastalTourismOptimization,83.0
00785,Suburban area with a mix of residential homes and small businesses.,Flexible Allocation,Low,Balanced,FlexibleResourceOptimization,84.0
00786,Financial district with numerous high-value transactions.,Dynamic Spectrum Allocation,Very High,Balanced,DynamicSpectrumOptimization,85.0
00787,Cultural center with recurring events and peak audience attendance.,Static Spectrum Allocation,High,Balanced,StaticSpectrumOptimization,86.0
00788,Shopping mall with peak shopping hours and e-commerce logistics.,E-commerce-Dynamic Allocation,Very High,Unbalanced,RealTimeOptimization,87.0
00789,Region with rural educational institutions.,School-Centric Allocation,Low,Balanced,EducationFacilitationOptimization,88.0
00790,Historical city center with cultural significance and seasonal tourism spikes.,MixedUseOptimization,Medium,Balanced,MixedUseOptimization,89.0
00791,A smart city with integrated IoT and connected vehicles.,Dynamic Spectrum Allocation,Very High,Balanced,DynamicSpectrumOptimization,90.0
00792,Suburban area with consistent low usage except for weekends.,Fixed Bandwidth Allocation,Low,Balanced,StaticSpectrumOptimization,91.0
00793,Transportation hub with multiple connectivity demands from vehicles and pedestrians.,Priority-based Allocation with Traffic Flow Optimization,Very High,Balanced,RealTimeOptimization,92.0
00794,Rural area with growing telehealth services demand.,Service-based Allocation,Medium,Unbalanced,RuralTelehealthOptimization,93.0
00795,Downtown area with constant heavy traffic and mixed commercial and residential use.,Traffic-aware Allocation,Very High,Unbalanced,TrafficAwareOptimization,94.0
00796,Waterfront area with tourist activities and a large marina.,Dynamic Spectrum Allocation,High,Balanced,DynamicSpectrumOptimization,95.0
00797,Educational campus with uniform demand across classrooms and study areas.,Static Spectrum Allocation,High,Balanced,StaticSpectrumOptimization,96.0
00798,Smart city infrastructure with IoT sensors.,SmartCity-Priority Allocation,Very High,Balanced,RealTimeOptimization,97.0
00799,Coastal region with tourist-based economy.,Tourism-Centric Allocation,Medium,Balanced,TourismOptimization,98.0
00800,Mixed residential and commercial area with nightlife activities affecting network load.,MixedUseOptimization,High,Balanced,MixedUseOptimization,99.0
00801,Urban area with high user density and varied usage patterns.,Dynamic Spectrum Allocation,High,Balanced,DynamicSpectrumOptimization,0.0
00802,"Suburban area with moderate usage, peak during evenings.",Static Spectrum Allocation,Medium,Unbalanced,StaticSpectrumOptimization,1.0
00803,Industrial area with critical real-time monitoring needs.,Priority-based Allocation,Very High,Balanced,RealTimeOptimization,2.0
00804,Rural area with low density and low usage.,Low Priority Allocation,Low,Unbalanced,RuralOptimization,3.0
00805,Mixed-use area with varying high-demand sectors.,Adaptive Resource Allocation,High,Balanced,MixedUseOptimization,4.0
00806,City center with high-rise buildings causing signal reflections.,Dynamic Spectrum Allocation,High,Balanced,DynamicSpectrumOptimization,5.0
00807,Urban center with consistent traffic patterns.,Static Spectrum Allocation,Medium,Balanced,StaticSpectrumOptimization,6.0
00808,Heavy industrial zone with critical IoT devices.,Priority-based Real-time Allocation,Very High,Balanced,RealTimeOptimization,7.0
00809,Small town with seasonal tourist traffic.,Dynamic Bandwidth Allocation,Medium,Balanced,DynamicBandwidthOptimization,8.0
00810,Downtown commercial district with high foot traffic and diverse service requirements.,MixedUseOptimization,High,Balanced,MixedUseOptimization,9.0
00811,A downtown area with high-rise buildings causing signal reflection.,Dynamic Spectrum Allocation,High,Balanced,DynamicSpectrumOptimization,10.0
00812,Residential area with sporadic high demand during weekends.,Fixed Bandwidth Allocation,Medium,Balanced,StaticSpectrumOptimization,11.0
00813,Factory floor with automated machinery and real-time communication needs.,Priority-based Allocation with Machine Learning Prediction,Very High,Balanced,RealTimeOptimization,12.0
00814,Urban area with high user density and varied usage patterns.,Dynamic Spectrum Allocation,High,Balanced,DynamicSpectrumOptimization,13.0
00815,Commercial district with high-rise office buildings and retail spaces.,Segmented Resource Allocation,High,Balanced,SegmentedSectorOptimization,14.0
00816,Small town with low population but hosting a major sports event.,Dynamic Spectrum Allocation,Very High,Balanced,DynamicSpectrumOptimization,15.0
00817,Commercial area with steady demand throughout the day.,Static Spectrum Allocation,Medium,Balanced,StaticSpectrumOptimization,16.0
00818,High-density event area with sporadic usage.,Dynamic Spectrum Allocation,High,Unbalanced,RealTimeOptimization,17.0
00819,Remote agricultural area with low population.,Minimal Bandwidth Allocation,Low,Unbalanced,AgriculturalAreaOptimization,18.0
00820,Residential area near a university campus with high data demand during exam periods.,MixedUseOptimization,Medium,Balanced,MixedUseOptimization,19.0
00821,A stadium with varying crowd density during events.,Dynamic Spectrum Allocation,Very High,Balanced,DynamicSpectrumOptimization,20.0
00822,Financial district with consistent high traffic during work hours.,Fixed Bandwidth Allocation,Very High,Balanced,StaticSpectrumOptimization,21.0
00823,Healthcare facility with critical patient monitoring systems.,Priority-based Allocation with Real-time Traffic Analysis,Very High,Balanced,RealTimeOptimization,22.0
00824,"Suburban area with moderate usage, peak during evenings.",Static Spectrum Allocation,Medium,Unbalanced,StaticSpectrumOptimization,23.0
00825,"Neighborhood with schools, clinics, and apartment buildings.",Service-based Allocation,Medium,Unbalanced,ServicePriorityOptimization,24.0
00826,Industrial district with multiple high-bandwidth applications.,Dynamic Spectrum Allocation,Very High,Balanced,DynamicSpectrumOptimization,25.0
00827,High-rise residential area with consistent peak times.,Static Spectrum Allocation,High,Balanced,StaticSpectrumOptimization,26.0
00828,Disaster-affected area with emergency communication needs.,Emergency-Priority Allocation,Very High,Balanced,RealTimeOptimization,27.0
00829,Countryside with intermittent usage.,Predictive Allocation,Medium,Balanced,PredictiveOptimization,28.0
00830,Areas close to airports with significant data transmission requirements for both commercial and personal use.,MixedUseOptimization,Very High,Balanced,MixedUseOptimization,29.0
00831,A financial district with numerous high-speed data requirements.,Dynamic Spectrum Allocation,High,Balanced,DynamicSpectrumOptimization,30.0
00832,Campus area with fluctuating usage between classes.,Fixed Bandwidth Allocation,High,Unbalanced,StaticSpectrumOptimization,31.0
00833,Smart city district with IoT devices generating continuous data.,Adaptive Resource Allocation with Predictive Analytics,High,Balanced,RealTimeOptimization,32.0
00834,Industrial area with critical real-time monitoring needs.,Priority-based Allocation,Very High,Balanced,RealTimeOptimization,33.0
00835,Residential area with sports facilities and local government buildings.,Event-based Allocation,Medium,Balanced,EventSchedulingOptimization,34.0
00836,"Dense urban area with a mix of commercial, residential, and government buildings.",Dynamic Spectrum Allocation,High,Balanced,DynamicSpectrumOptimization,35.0
00837,Industrial zone with regular heavy usage in mornings.,Static Spectrum Allocation,Medium,Balanced,StaticSpectrumOptimization,36.0
00838,Military base with constant and critical communication.,Military-Priority Allocation,Very High,Balanced,RealTimeOptimization,37.0
00839,Hilly terrain with challenging topography.,Mobility Optimization,Low,Unbalanced,TopographicalChallengesOptimization,38.0
00840,"City center with a mix of retail, office spaces, and entertainment venues with peak usage times.",MixedUseOptimization,High,Balanced,MixedUseOptimization,39.0
00841,A city with frequent public events leading to variable network demand.,Dynamic Spectrum Allocation,Medium,Balanced,DynamicSpectrumOptimization,40.0
00842,Small town with occasional influx of visitors during local events.,Fixed Bandwidth Allocation,Low,Balanced,StaticSpectrumOptimization,41.0
00843,Critical infrastructure network during a natural disaster.,Dynamic Spectrum Allocation with Emergency Priority,High,Balanced,RealTimeOptimization,42.0
00844,Rural area with low density and low usage.,Low Priority Allocation,Low,Unbalanced,RuralOptimization,43.0
00845,Mixed residential and commercial zone with scheduled business hours.,Time-based Allocation,Medium,Balanced,TimeSchedulingOptimization,44.0
00846,Tourist attraction area during peak season with an influx of visitors.,Dynamic Spectrum Allocation,Very High,Balanced,DynamicSpectrumOptimization,45.0
00847,Healthcare facility with non-stop 24/7 demand.,Static Spectrum Allocation,High,Balanced,StaticSpectrumOptimization,46.0
00848,Sports stadium during peak events.,Event-based Dynamic Allocation,Very High,Unbalanced,RealTimeOptimization,47.0
00849,Regional center with sparse connectivity infrastructure.,Area Expansion Strategy,Medium,Unbalanced,InfrastructureDevelopmentOptimization,48.0
00850,Suburban neighborhood with occasional high usage for sports events and community gatherings.,MixedUseOptimization,Medium,Balanced,MixedUseOptimization,49.0
00851,A university campus with diverse connectivity needs for classrooms and dormitories.,Dynamic Spectrum Allocation,High,Balanced,DynamicSpectrumOptimization,50.0
00852,Commercial area with consistent traffic throughout the day.,Fixed Bandwidth Allocation,Very High,Balanced,StaticSpectrumOptimization,51.0
00853,Entertainment district with high-density event spaces.,Priority-based Allocation with Crowd-sourced Demand Forecasting,High,Balanced,RealTimeOptimization,52.0
00854,Mixed-use area with varying high-demand sectors.,Adaptive Resource Allocation,High,Balanced,MixedUseOptimization,53.0
00855,Area with high-density retail zones and adjacent entertainment venues.,Event-driven Allocation,High,Unbalanced,EventDrivenOptimization,54.0
00856,Historic city center with narrow streets and older buildings.,Dynamic Spectrum Allocation,Medium,Unbalanced,DynamicSpectrumOptimization,55.0
